"term","estimate","std.error","statistic","p.value","p.adjustBH","sig"
"conditionKOC7:metaboliteC18:2 total",6.56805483711509,1.48372829209337,4.42672345881355,1.08613236009761e-05,8.96059197080525e-05,TRUE
"conditionKOC8:metaboliteC18:2 total",6.28824125698794,1.46492601873043,4.29253162042792,1.97757216784176e-05,0.000145021958975062,TRUE
"conditionKOEX:metaboliteC19:1 total",20.6873791402772,1.46099424321013,14.1597951096798,7.02257989092096e-41,1.54496757600261e-39,TRUE
"conditionKOC7:metaboliteC19:1 total",95.3148684073208,1.48372829209337,64.2401098066563,2.96439387504748e-322,1.95649995753134e-320,TRUE
"conditionKOC8:metaboliteC19:1 total",16.4486681502944,1.46492601873043,11.2283268506279,2.59008355023032e-27,4.27363785788003e-26,TRUE
"conditionKOEX:metabolitecarnitine",-2.68845433746726,1.47878807724185,-1.81801191045684,0.0694270727142804,0.176237953813173,FALSE
"conditionKOC7:metabolitecarnitine",-3.26077409773514,1.48372829209337,-2.19768950630075,0.0282501467027383,0.0810656383643794,FALSE
"conditionKOC8:metabolitecarnitine",-2.08520619028479,1.46492601873043,-1.42342081690373,0.154994561886485,0.30998912377297,FALSE
"conditionKOEX:metaboliteethylmalonylcarnitine",-4.01788744545181,1.46291526703817,-2.74649361858562,0.00615563148883398,0.0225706487923913,TRUE
"conditionKOC7:metaboliteethylmalonylcarnitine",-4.84006562289514,1.50255980836441,-3.22121328944885,0.0013268211498706,0.00625501399224713,TRUE
"conditionKOC8:metaboliteethylmalonylcarnitine",-3.73203033650202,1.48372752433909,-2.51530707308568,0.0120830105626574,0.0419725630071256,TRUE
"conditionKOEX:metaboliteisobutyrylcarnitine",1.41039483053422,1.48194450599966,0.95171905886099,0.341519915878617,0.536674153523542,FALSE
"conditionKOC7:metaboliteisobutyrylcarnitine",0.601198336684504,1.5208954558213,0.395292348585425,0.692729954922507,0.774918254659075,FALSE
"conditionKOC8:metaboliteisobutyrylcarnitine",1.66158567166019,1.48372681116815,1.1198730515303,0.263095764580715,0.464793873595584,FALSE
"conditionKOEX:metabolitemethylsuccinylcarnitine",-3.4524128864304,1.47867673791236,-2.33479894415911,0.0197944037497906,0.0653215323743088,FALSE
"conditionKOC7:metabolitemethylsuccinylcarnitine",-4.33328256384434,1.5025598083644,-2.88393349783613,0.00403024798021361,0.0165588370503705,TRUE
"conditionKOC8:metabolitemethylsuccinylcarnitine",-3.08042731434886,1.48379364954859,-2.07604832065833,0.038200547024993,0.105051504318731,FALSE
"conditionKOEX:metaboliten-decanoylcarnitine",0.642513146370692,1.4835969280657,0.433077970313941,0.665072015418748,0.756806086510989,FALSE
"conditionKOC7:metaboliten-decanoylcarnitine",2.7123557865418,1.48372829209337,1.82806771360744,0.067902578970904,0.176237953813173,FALSE
"conditionKOC8:metaboliten-decanoylcarnitine",4.47924017027965,1.4837936495486,3.01877567116042,0.00261659367127538,0.0115130121536117,TRUE
"conditionKOEX:metaboliten-hexanoylcarnitine",-0.479521668138914,1.46219639251627,-0.32794614361872,0.743036099159024,0.792127869206469,FALSE
"conditionKOC7:metaboliten-hexanoylcarnitine",-1.27851295474498,1.48372829209337,-0.861689408740154,0.389110362137587,0.58366554320638,FALSE
"conditionKOC8:metaboliten-hexanoylcarnitine",0.656802065619095,1.46492601873043,0.448351696414204,0.654017838716119,0.756806086510989,FALSE
"conditionKOEX:metaboliten-octanoylcarnitine",-0.532883498991444,1.48427015819114,-0.359020557039873,0.719672133061212,0.791639346367333,FALSE
"conditionKOC7:metaboliten-octanoylcarnitine",-1.12928022626978,1.48372829209337,-0.761109855684223,0.446810269192534,0.65532172814905,FALSE
"conditionKOC8:metaboliten-octanoylcarnitine",1.60137738086129,1.46492601873043,1.09314556529559,0.274650925306481,0.464793873595584,FALSE
"conditionKOEX:metabolitepropionylcarnitine",-2.1389622378621,1.48078856175038,-1.44447512164311,0.148987356778044,0.307286423354717,FALSE
"conditionKOC7:metabolitepropionylcarnitine",-2.35774597356779,1.5025598083644,-1.56915282868793,0.116998110302024,0.26303945583241,FALSE
"conditionKOC8:metabolitepropionylcarnitine",-1.98887907027552,1.46492601873043,-1.35766519595247,0.174943439021254,0.339596087511846,FALSE
