"term","estimate","std.error","statistic","p.value","p.adjustBH","sig"
"genotypeKO:conditionExercise:metaboliteC142total",2.40021649702756,1.61794446745199,1.4834974532887,0.138349892887886,0.226953382691474,FALSE
"genotypeKO:conditionExercise:metaboliteC151total",2.27967353904156,1.6183152535924,1.40867085938975,0.159334611381844,0.241749065544867,FALSE
"genotypeKO:conditionExercise:metaboliteC161total",3.8124542397029,1.62965653896768,2.33942192636366,0.0195673486083675,0.0705599238737927,FALSE
"genotypeKO:conditionExercise:metaboliteC171total",2.39469725146604,1.61798203311372,1.48005181915251,0.139266848469768,0.226953382691474,FALSE
"genotypeKO:conditionExercise:metaboliteC181total",3.82023311849649,1.62944507476007,2.34449947265575,0.0193048536907349,0.0705599238737927,FALSE
"genotypeKO:conditionExercise:metaboliteC182total",1.85015520098955,1.62929035773291,1.13555892122505,0.256493166389496,0.344480983578692,FALSE
"genotypeKO:conditionExercise:metaboliteC191total",1.55672795343154,1.62929579557112,0.955460609217281,0.339643516737954,0.426980421041999,FALSE
"genotypeKO:conditionExercise:metabolitecarnitine",0.472572463397611,1.62755525836154,0.29035724653266,0.771620823735604,0.808364672484919,FALSE
"genotypeKO:conditionExercise:metaboliteethylmalonylcarnitine",-0.337766990941412,1.61795453996824,-0.208761731308003,0.834689244387184,0.851837233501726,FALSE
"genotypeKO:conditionExercise:metaboliteisobutyrylcarnitine",2.9795330805999,1.67663532966011,1.77709071727834,0.0759464762478915,0.169574429961268,FALSE
"genotypeKO:conditionExercise:metabolitemethylsuccinylcarnitine",-1.17057567444288,1.62812134199461,-0.718973238818185,0.472374688584369,0.532935546095186,FALSE
"genotypeKO:conditionExercise:metabolitendecanoylcarnitine",2.88101226705331,1.62745887446518,1.77025196289527,0.077079286346031,0.169574429961268,FALSE
"genotypeKO:conditionExercise:metabolitenhexanoylcarnitine",1.35563830120684,1.61795758504279,0.837870110897241,0.402362643820253,0.465893587581345,FALSE
"genotypeKO:conditionExercise:metabolitenoctanoylcarnitine",1.50377899168753,1.63836225378734,0.917855003196823,0.358981069429394,0.438754640413703,FALSE
"genotypeKO:conditionExercise:metabolitepropionylcarnitine",0.304013080513481,1.6271542015747,0.186837289434073,0.851837233501726,0.851837233501726,FALSE
