"contrast","metabolite","genotype","beta","se","denDF","lowerCL","upperCL","t","p.value","p.adjustBH","sig"
"Exercise","Tryptophan","WT",2.85874291122125,0.656436679861693,38,1.57215066056128,4.14533516188122,4.35494084794831,0.0001477064830479,0.0035449555931496,TRUE
"Exercise","Tyrosine","WT",2.27736629950285,0.655954782175916,38,0.991718550951236,3.56301404805446,3.47183428093691,0.00184008966131462,0.0147207172905169,TRUE
"Exercise","valine","WT",0.51860900490056,0.655954782174997,38,-0.767038743649251,1.80425675345037,0.790617004393153,0.288324287799203,0.396286520590199,FALSE
"Exercise","alaninesarcosine","KO",-0.460800188809023,0.653945541940098,38,-1.74250989886214,0.820909521244096,-0.704646119984151,0.307689921097401,0.396286520590199,FALSE
"Exercise","arginine","KO",-0.805712857800001,0.653670650240932,38,-2.08688379002311,0.475458074423104,-1.23259757418056,0.184524387687696,0.396286520590199,FALSE
"Exercise","asparagine","KO",0.128121602782485,0.653118156242287,38,-1.1519664611016,1.40820966666657,0.196169102876626,0.388580767796072,0.396286520590199,FALSE
"Exercise","AsparticAcid","KO",0.216429216607454,0.653624196962324,38,-1.06465066886261,1.49750910207752,0.331121793858451,0.37467391797949,0.396286520590199,FALSE
"Exercise","CITRIC","KO",-0.41523113410233,0.667825091242067,38,-1.72414426090896,0.893681992704297,-0.621766297115394,0.325335668001845,0.396286520590199,FALSE
"Exercise","FUMARIC","KO",0.181687611195131,0.671174091256565,38,-1.13378943502414,1.4971646574144,0.270701169133298,0.381713759716939,0.396286520590199,FALSE
"Exercise","glutamic","KO",-0.456773319391653,0.652784694763999,38,-1.73620781078806,0.822661172004758,-0.699730436475368,0.308767855654877,0.396286520590199,FALSE
"Exercise","glutamine","KO",-1.65686838952016,0.65113586802155,38,-2.93307123988463,-0.3806655391557,-2.5445816624332,0.0184328295190176,0.0884775816912846,FALSE
"Exercise","glycine","KO",-0.201586728786188,0.669119674269742,38,-1.51303719170205,1.10986373412968,-0.301271561034569,0.378311354797777,0.396286520590199,FALSE
"Exercise","histidine","KO",-1.02948144920358,0.646055685334901,38,-2.29572732446733,0.236764426060165,-1.59348717544359,0.112270885060772,0.307677364802087,FALSE
"Exercise","isoleucine","KO",0.513075508854334,0.647856656508276,38,-0.756700205046423,1.78285122275509,0.791958381070952,0.288015459541685,0.396286520590199,FALSE
"Exercise","LACTIC","KO",-0.136082149661322,0.655403667080507,38,-1.4206497324746,1.14848543315195,-0.207631047088125,0.387659945143613,0.396286520590199,FALSE
"Exercise","leucine","KO",2.65159139319322,0.663664705701603,38,1.3508324722077,3.95235031417873,3.99537804317928,0.00042457310973175,0.00473969570074205,TRUE
"Exercise","lysine","KO",-1.41054763580544,0.646999815525392,38,-2.67864397223926,-0.14245129937161,-2.18013607107447,0.0398094391999807,0.15699097910709,FALSE
"Exercise","MALIC","KO",0.302161669357758,0.665928080361771,38,-1.00303338444521,1.60735672316072,0.453745199021502,0.356691897138915,0.396286520590199,FALSE
"Exercise","methionine","KO",-0.825118632348594,0.647051384556412,38,-2.09331604222594,0.44307877752875,-1.27519800133687,0.175061631474553,0.396286520590199,FALSE
"Exercise","METHYLSUCCINIC","KO",0.21198542147314,0.65472591267352,38,-1.07125378711208,1.49522463005835,0.323777350750507,0.375597229978091,0.396286520590199,FALSE
"Exercise","Phenylalanine","KO",0.756054885829228,0.662707737201736,38,-0.542828411362209,2.05493818302066,1.1408571884518,0.205514983226233,0.396286520590199,FALSE
"Exercise","serine","KO",-0.319419770927844,0.665178226049762,38,-1.62314513728562,0.984305595429932,-0.480201784151527,0.352223225377596,0.396286520590199,FALSE
"Exercise","SUCCINIC2","KO",-1.25728892649533,0.655099473435359,38,-2.54126030071979,0.0266824477291281,-1.91923360875574,0.0652439830725418,0.223693656248715,FALSE
"Exercise","threonine","KO",0.377028674052315,0.64778396343161,38,-0.892604564036251,1.64666191214088,0.582028415854911,0.333343322760942,0.396286520590199,FALSE
"Exercise","Tryptophan","KO",2.55778132870709,0.64869186883075,38,1.28636862873484,3.82919402867934,3.94298348970741,0.00049371830216063,0.00473969570074205,TRUE
"Exercise","Tyrosine","KO",3.80815522457367,0.680564155574363,38,2.474273990479,5.14203645866833,5.59558594642671,3.222865480571e-06,0.000154697543067408,TRUE
"Exercise","valine","KO",2.69917254049403,0.647742119707816,38,1.42962131459708,3.96872376639098,4.16704805565458,0.00025754526896071,0.00412072430337136,TRUE
