"term","estimate","std.error","statistic","p.value"
"conditionKOREST:metaboliteglycine",-0.503074361192285,0.918367460347375,-0.547792014540668,0.583978536689275
"conditionKOEX:metaboliteglycine",-0.243860901062683,0.878204980618395,-0.277681072693264,0.781324714703548
"conditionWTEX:metabolitehistidine",-1.03499720236722,0.884653667667196,-1.16994620628938,0.242350552691621
"conditionKOREST:metabolitehistidine",-0.744118531323992,0.905471896378968,-0.821801907159972,0.411420096632534
"conditionKOEX:metabolitehistidine",-1.31279979171549,0.876054050003926,-1.49853743808343,0.134364947287554
"conditionWTEX:metaboliteisoleucine",0.303218381368975,0.884598858057629,0.342775008815602,0.731852476755263
"conditionKOREST:metaboliteisoleucine",-1.06091357353433,0.905471896378967,-1.17166924537026,0.241658189608893
"conditionKOEX:metaboliteisoleucine",-0.087037875751765,0.877997386400908,-0.0991322720316414,0.921056622467489
"conditionWTEX:metaboliteLACTIC",0.425993719662766,0.897894077173402,0.474436495899168,0.635310530365842
"conditionKOREST:metaboliteLACTIC",-1.25197716630419,0.918412226202465,-1.36319740807565,0.173181276531938
"conditionKOEX:metaboliteLACTIC",-0.927259127157304,0.8911827400241,-1.04048146975134,0.29841212903815
"conditionWTEX:metaboliteleucine",-0.359859009892332,0.884598858057631,-0.406804741623222,0.684253814955306
"conditionKOREST:metaboliteleucine",-1.32783425560994,0.905471896378968,-1.466455514434,0.142894081316999
"conditionKOEX:metaboliteleucine",1.78455732633146,0.88866775709309,2.00812656033443,0.044945804319241
"conditionWTEX:metabolitelysine",-1.79806280381403,0.897849435110749,-2.00263288420095,0.045533893757361
"conditionKOREST:metabolitelysine",-0.862788342482005,0.918368581531285,-0.939479376617386,0.347751564739463
"conditionKOEX:metabolitelysine",-1.81253578942578,0.889871971940519,-2.03685007122231,0.0419744682444108
"conditionWTEX:metaboliteMALIC",2.1166206316718,0.897894077173399,2.35731662061408,0.0186333694731852
"conditionKOREST:metaboliteMALIC",-1.16350172547009,0.918412226202466,-1.26686219137244,0.205551581307136
"conditionKOEX:metaboliteMALIC",-0.400539867302814,0.900487537998993,-0.444803343078871,0.656575116589162
"conditionWTEX:metabolitemethionine",-0.687808663236735,0.897824388502757,-0.766083737582299,0.443839164481013
"conditionKOREST:metabolitemethionine",0.767719759505812,0.918344094555763,0.835982682370475,0.403399581371248
"conditionKOEX:metabolitemethionine",0.403401315971524,0.890014874129597,0.453252330604065,0.650482734603945
"conditionWTEX:metaboliteMETHYLSUCCINIC",-0.213794074166011,0.924516777564124,-0.23124953419375,0.817176602904296
"conditionKOREST:metaboliteMETHYLSUCCINIC",-1.42690039136158,0.934274333796153,-1.5272820195796,0.127062907082238
"conditionKOEX:metaboliteMETHYLSUCCINIC",-0.754114781079886,0.906701326012958,-0.83171244978317,0.405804858174822
"conditionWTEX:metabolitePhenylalanine",0.783450181155064,0.90837665682235,0.862472824759391,0.388670644398473
"conditionKOREST:metabolitePhenylalanine",0.0257076028453116,0.918344094555763,0.0279934318712501,0.977673960579725
"conditionKOEX:metabolitePhenylalanine",1.24256267749484,0.902285767873501,1.37712764817658,0.168835332723977
"conditionWTEX:metaboliteserine",-0.486521681331453,0.884653667667197,-0.549957230849892,0.582493183634467
"conditionKOREST:metaboliteserine",-0.152394812053547,0.918367460347375,-0.165940997077469,0.868242844671277
"conditionKOEX:metaboliteserine",-0.0110143941731331,0.876941671341452,-0.0125600077326517,0.989981774506458
"conditionWTEX:metaboliteSUCCINIC-2",0.0163023109322355,0.897894077173401,0.0181561626774014,0.985518534797592
"conditionKOREST:metaboliteSUCCINIC-2",-1.11034368827013,0.918412226202467,-1.20898182383882,0.227006012411361
"conditionKOEX:metaboliteSUCCINIC-2",-1.90683242588576,0.895643208131831,-2.12900897206948,0.0335404220316202
"conditionWTEX:metabolitethreonine",-1.15437709899666,0.895442563311218,-1.28916934072012,0.197689930958512
"conditionKOREST:metabolitethreonine",-0.631149993921016,0.905471896378967,-0.697039848994784,0.485968444673743
"conditionKOEX:metabolitethreonine",0.20667886894389,0.877376983104526,0.235564498412727,0.813827366979229
"conditionWTEX:metaboliteTryptophan",3.2330070439138,0.884653667667199,3.6545454589468,0.000273442127317323
"conditionKOREST:metaboliteTryptophan",0.314495240812084,0.905471896378969,0.347327445578121,0.728431314363453
"conditionKOEX:metaboliteTryptophan",3.33307675833443,0.878153531555868,3.79555127726817,0.000157772610914661
"conditionWTEX:metaboliteTyrosine",2.65163043219981,0.884598858057631,2.99755127202194,0.00280078926930715
"conditionKOREST:metaboliteTyrosine",-0.193222986969699,0.918342878493321,-0.210403969470216,0.833402820131169
"conditionKOEX:metaboliteTyrosine",4.0757324264047,0.889336135827068,4.58289308419288,5.27308183985891e-06
"conditionWTEX:metabolitevaline",0.892873137597062,0.884598858057629,1.00935370814021,0.313092267475424
"conditionKOREST:metabolitevaline",-0.808573834583559,0.905471896378968,-0.892986118969667,0.372117350061027
"conditionKOEX:metabolitevaline",2.35139889462747,0.877651913723073,2.67919303525773,0.00752262888192643
